成交记录ID,户型,小区名称,建筑面积,成交价,挂牌价,单价,成交周期,成交日期,朝向,装修,电梯,楼层,建筑类型
101106706306,2室2厅,台北湾,86.55,105,106,12132,14,2020.01.20,东南,精装,,低楼层(共33层),板塔结合
101106743077,2室1厅,瑞景华庭,64,79,80,12344,9,2020.01.20,东南,其他,,高楼层(共14层),塔楼
101105678408,3室2厅,文景观园,115.57,136,140,11768,136,2020.01.20,东南,简装,,低楼层(共27层),板塔结合
101104595742,4室2厅,龙湖源著,119,185,185,15547,268,2020.01.20,南北,精装,,低楼层(共33层),板楼
101105561024,1室0厅,融侨城,33.17,54,56,16280,149,2020.01.20,北,精装,,低楼层(共22层),板楼
101106614567,3室2厅,天朗莱茵小城,107,135,136,12617,28,2020.01.20,东南,精装,,中楼层(共27层),板塔结合
101106765532,2室2厅,大唐新干线,83,56,56,6687,5,2020.01.20,南北,其他,,低楼层(共6层),板塔结合
101106139896,2室1厅,阳光嘉庭,88.78,105,110,11827,83,2020.01.20,西,简装,,高楼层(共30层),塔楼
101105188952,3室2厅,金辉世界城,92.47,142,136,15357,194,2020.01.20,南,毛坯,,高楼层(共33层),板塔结合
101106426913,2室1厅,东城桃园,61.38,73,75,11894,48,2020.01.20,北,简装,,中楼层(共24层),塔楼
101106243507,4室2厅,中铁缤纷南郡,157.42,318,330,20201,71,2020.01.20,南北,精装,,中楼层(共33层),板塔结合
101104008201,1室1厅,海荣名城,47,71,75,14915,364,2020.01.20,东南,简装,,低楼层(共24层),塔楼
101106498356,3室1厅,兴隆园二区,80.33,112,115,13943,38,2020.01.20,南,简装,,中楼层(共6层),板楼
101105971986,1室0厅,台北湾,50.98,51,52,10004,101,2020.01.20,西,简装,,中楼层(共33层),塔楼
101105984010,2室2厅,丰盛园,90.18,82,88,9093,100,2020.01.20,北,简装,,低楼层(共6层),板楼
101105160409,3室2厅,佳家sport,168,155,158,9227,197,2020.01.20,东南,简装,,中楼层(共22层),塔楼
101106730569,2室1厅,复地优尚国际二期,74,117,121,15811,11,2020.01.20,西南,精装,,高楼层(共27层),板塔结合
101104969439,4室2厅,高新枫叶新都市,155.74,393,395,25235,218,2020.01.20,南北,精装,,高楼层(共11层),塔楼
101106744810,3室2厅,浐灞半岛A5区,136.83,158,158,11548,8,2020.01.19,南北,其他,,中楼层(共11层),板楼
101106446182,2室2厅,满堂悦MOMA,77.64,105,110,13524,45,2020.01.19,南,精装,,低楼层(共33层),板塔结合
101106644846,3室2厅,增源航都绿洲,143,173,180,12098,22,2020.01.19,南,毛坯,,中楼层(共20层),板楼
101104458825,3室2厅,金辉世界城,92,139,138,15109,286,2020.01.19,南,毛坯,,高楼层(共33层),板塔结合
101105975835,2室1厅,御笔城市广场,60.22,78,83,12953,100,2020.01.19,西,精装,,低楼层(共32层),板塔结合
101106336665,2室2厅,合能朱阙,70.66,98,100,13870,58,2020.01.19,西北,毛坯,,高楼层(共34层),板塔结合
101105336041,3室2厅,融创天朗蘭园,131,225,230,17176,174,2020.01.19,南北,精装,,低楼层(共11层),板塔结合
101106497690,2室2厅,锦绣天下三期,89.13,128,133,14362,37,2020.01.19,南北,精装,,中楼层(共11层),板塔结合
101105488607,3室2厅,绿地国际花都,111.05,150,160,13508,156,2020.01.19,南,毛坯,,高楼层(共29层),板塔结合
101106761857,2室1厅,灞电一区,56,42,43,7500,4,2020.01.19,南,其他,,高楼层(共4层),板塔结合
101105185690,2室2厅,西瑞北国之春,91.09,96,98,10462,193,2020.01.19,南北,简装,,中楼层(共6层),板楼
101106600088,3室2厅,紫薇田园都市K区,142.97,226,230,15808,28,2020.01.19,南北,简装,,低楼层(共20层),板楼
