成交记录ID,户型,小区名称,建筑面积,成交价,挂牌价,单价,成交周期,成交日期,朝向,装修,建筑类型,latitude,longtitude,楼层位置,楼高
101105182821,2室2厅,香榭丽都小区,101.22,118,120.0,11609,195,2020.01.20,东南,简装,板塔结合,34.32112901221106,108.94926592822955,中楼层,27
101106372429,3室2厅,曲江观山悦,139.8,250,245.0,17883,56,2020.01.20,南北,精装,板塔结合,24.688407846380294,113.61150106464875,中楼层,17
101105851856,2室2厅,中铁尚都城,90.53,128,128.0,14139,117,2020.01.20,南,精装,板塔结合,22.526434279599716,113.97896982152743,中楼层,31
101106684189,3室2厅,枫林绿洲,131.0,288,290.0,21947,17,2020.01.20,南北,简装,板塔结合,28.239238259446992,112.95575573919999,高楼层,17
101105612755,3室2厅,中铁尚都城,132.07,160,153.0,12115,144,2020.01.20,南北,毛坯,板塔结合,22.526434279599716,113.97896982152743,高楼层,33
101106575090,3室2厅,水榭中央领地,59.38,48,48.0,8084,33,2020.01.20,南,其他,板塔结合,34.46763141252837,109.02777917725989,低楼层,16
101105260701,3室2厅,碧桂园天玺,95.56,142,146.0,14860,185,2020.01.20,南,精装,板塔结合,39.95149170817752,116.47120834144478,中楼层,33
101106236078,5室3厅,金地湖城大境天锦,314.28,705,800.0,22433,72,2020.01.20,南北,毛坯,板楼,32.13303705369925,118.98690501704957,中楼层,12
101105136177,3室2厅,华城泊郡,122.45,180,185.0,14700,200,2020.01.20,南北,精装,板塔结合,39.896557701524365,116.35993838199309,高楼层,34
101106638204,2室2厅,天下荣郡,98.24,55,60.0,5599,24,2020.01.20,南,其他,暂无数据,22.679534341122956,113.82904272179218,高楼层,9
101106706306,2室2厅,台北湾,86.55,105,106.0,12132,14,2020.01.20,东南,精装,板塔结合,25.04079744843921,121.57373785992779,低楼层,33
101106743077,2室1厅,瑞景华庭,64.0,79,80.0,12344,9,2020.01.20,东南,其他,塔楼,22.519869136781473,113.91599824597658,高楼层,14
101105678408,3室2厅,文景观园,115.57,136,140.0,11768,136,2020.01.20,东南,简装,板塔结合,28.171695624083014,112.95915923911508,低楼层,27
101104595742,4室2厅,龙湖源著,119.0,185,185.0,15547,268,2020.01.20,南北,精装,板楼,23.37777578062844,116.7235246469334,低楼层,33
101105561024,1室0厅,融侨城,33.17,54,56.0,16280,149,2020.01.20,北,精装,板楼,30.613430365178907,114.35274487760769,低楼层,22
101106614567,3室2厅,天朗莱茵小城,107.0,135,136.0,12617,28,2020.01.20,东南,精装,板塔结合,30.672103258687855,104.08871950535169,中楼层,27
101106765532,2室2厅,大唐新干线,83.0,56,56.0,6687,5,2020.01.20,南北,其他,板塔结合,39.984881072602,116.36363203458903,低楼层,6
101106139896,2室1厅,阳光嘉庭,88.78,105,110.0,11827,83,2020.01.20,西,简装,塔楼,40.21831404912994,116.24583500000388,高楼层,30
101105188952,3室2厅,金辉世界城,92.47,142,136.0,15357,194,2020.01.20,南,毛坯,板塔结合,39.930435044774825,116.41406533134408,高楼层,33
101106426913,2室1厅,东城桃园,61.38,73,75.0,11894,48,2020.01.20,北,简装,塔楼,39.93482727239599,116.4224009776628,中楼层,24
101106243507,4室2厅,中铁缤纷南郡,157.42,318,330.0,20201,71,2020.01.20,南北,精装,板塔结合,22.526434279599716,113.97896982152743,中楼层,33
101104008201,1室1厅,海荣名城,47.0,71,75.0,14915,364,2020.01.20,东南,简装,塔楼,31.248024527003203,121.38527930999861,低楼层,24
101106498356,3室1厅,兴隆园二区,80.33,112,115.0,13943,38,2020.01.20,南,简装,板楼,40.42345402963516,117.50742737263927,中楼层,6
101105971986,1室0厅,台北湾,50.98,51,52.0,10004,101,2020.01.20,西,简装,塔楼,25.04079744843921,121.57373785992779,中楼层,33
101105984010,2室2厅,丰盛园,90.18,82,88.0,9093,100,2020.01.20,北,简装,板楼,40.195387846886156,116.20221785309542,低楼层,6
101105160409,3室2厅,佳家sport,168.0,155,158.0,9227,197,2020.01.20,东南,简装,塔楼,34.31705639181402,108.94088419883816,中楼层,22
101106730569,2室1厅,复地优尚国际二期,74.0,117,121.0,15811,11,2020.01.20,西南,精装,板塔结合,39.90937779988987,116.38431686641454,高楼层,27
101104969439,4室2厅,高新枫叶新都市,155.74,393,395.0,25235,218,2020.01.20,南北,精装,塔楼,30.82940746819094,104.1653928450365,高楼层,11
101106744810,3室2厅,浐灞半岛A5区,136.83,158,158.0,11548,8,2020.01.19,南北,其他,板楼,34.32463901730524,109.04515096853405,中楼层,11
101106446182,2室2厅,满堂悦MOMA,77.64,105,110.0,13524,45,2020.01.19,南,精装,板塔结合,30.61658448460168,103.97503382272258,低楼层,33
101106644846,3室2厅,增源航都绿洲,143.0,173,180.0,12098,22,2020.01.19,南,毛坯,板楼,29.009083201582374,114.49412701098068,中楼层,20
101104458825,3室2厅,金辉世界城,92.0,139,138.0,15109,286,2020.01.19,南,毛坯,板塔结合,39.930435044774825,116.41406533134408,高楼层,33
101105975835,2室1厅,御笔城市广场,60.22,78,83.0,12953,100,2020.01.19,西,精装,板塔结合,39.7075560798796,116.30308103304456,低楼层,32
101106336665,2室2厅,合能朱阙,70.66,98,100.0,13870,58,2020.01.19,西北,毛坯,板塔结合,39.68788877226557,116.5266448405682,高楼层,34
101105336041,3室2厅,融创天朗蘭园,131.0,225,230.0,17176,174,2020.01.19,南北,精装,板塔结合,39.9508729127807,116.44177230717162,低楼层,11
101106497690,2室2厅,锦绣天下三期,89.13,128,133.0,14362,37,2020.01.19,南北,精装,板塔结合,34.384830193404355,109.00131967829404,中楼层,11
101105488607,3室2厅,绿地国际花都,111.05,150,160.0,13508,156,2020.01.19,南,毛坯,板塔结合,23.411161504875746,113.22657580629208,高楼层,29
101106761857,2室1厅,灞电一区,56.0,42,43.0,7500,4,2020.01.19,南,其他,板塔结合,31.676918152784104,121.49011425792958,高楼层,4
101105185690,2室2厅,西瑞北国之春,91.09,96,98.0,10462,193,2020.01.19,南北,简装,板楼,29.42062883278575,105.60942253357378,中楼层,6
101106600088,3室2厅,紫薇田园都市K区,142.97,226,230.0,15808,28,2020.01.19,南北,简装,板楼,30.749750860862683,103.76136503005245,低楼层,20
